,Train,Origine,Destination,Heure départ,Heure arrivée,Nombre de voyageurs,Anticipation Achat,Prix des billets,Agent SNCF
0,4144,10009,10004,1708,1908,8,11,410.112,False
1,4144,10009,10004,1708,1908,8,11,410.112,False
2,4144,10009,10004,1708,1908,7,1,399.168,False
3,4144,10009,10004,1708,1908,7,1,399.168,False
4,4144,10009,10004,1708,1908,6,65,120.96,False
5,4144,10009,10004,1708,1908,6,65,120.96,False
6,4144,10009,10004,1708,1908,8,95,23.04,False
7,4144,10009,10004,1708,1908,8,95,23.04,False
8,4144,10009,10004,1708,1908,6,95,17.28,False
9,4144,10009,10004,1708,1908,6,95,17.28,False
10,4144,10009,10004,1708,1908,6,31,238.464,False
11,4144,10009,10004,1708,1908,6,31,238.464,False
12,4144,10009,10004,1708,1908,10,55,0.0,True
13,4144,10009,10004,1708,1908,10,55,0.0,True
14,4144,10009,10004,1708,1908,3,31,0.0,True
15,4144,10009,10004,1708,1908,3,31,0.0,True
16,4144,10009,10004,1708,1908,5,19,233.28,False
17,4144,10009,10004,1708,1908,5,19,233.28,False
18,4144,10009,10004,1708,1908,2,4,110.592,False
19,4144,10009,10004,1708,1908,2,4,110.592,False
20,4144,10009,10004,1708,1908,9,90,51.84,False
21,4144,10009,10004,1708,1908,9,90,51.84,False
22,4144,10009,10004,1708,1908,4,1,228.096,False
23,4144,10009,10004,1708,1908,4,1,228.096,False
24,4144,10009,10004,1708,1908,6,3,0.0,True
25,4144,10009,10004,1708,1908,6,3,0.0,True
26,4144,10009,10004,1708,1908,9,69,160.704,False
27,4144,10009,10004,1708,1908,9,69,160.704,False
28,4144,10009,10004,1708,1908,5,77,66.24,False
29,4144,10009,10004,1708,1908,5,77,66.24,False
30,4144,10009,10004,1708,1908,3,34,114.048,False
31,4144,10009,10004,1708,1908,3,34,114.048,False
32,4144,10009,10004,1708,1908,8,25,345.6,False
33,4144,10009,10004,1708,1908,8,25,345.6,False
34,4144,10009,10004,1708,1908,6,76,82.94400000000002,False
35,4144,10009,10004,1708,1908,6,76,82.94400000000002,False
36,4144,10009,10004,1708,1908,6,97,10.368000000000002,False
