,Unnamed: 0,Train,Origine,Destination,Heure départ,Heure arrivée,Nombre de voyageurs,Anticipation Achat,Prix des billets,Agent SNCF,ville_origine,ville_destination,distance
0,0,4144,10009,10004,1708,1908,8,11,410.112,False,Paris,Lyon,576
1,1,4144,10009,10004,1708,1908,8,11,410.112,False,Paris,Lyon,576
2,2,4144,10009,10004,1708,1908,7,1,399.168,False,Paris,Lyon,576
3,3,4144,10009,10004,1708,1908,7,1,399.168,False,Paris,Lyon,576
4,4,4144,10009,10004,1708,1908,6,65,120.96,False,Paris,Lyon,576
5,5,4144,10009,10004,1708,1908,6,65,120.96,False,Paris,Lyon,576
6,6,4144,10009,10004,1708,1908,8,95,23.04,False,Paris,Lyon,576
7,7,4144,10009,10004,1708,1908,8,95,23.04,False,Paris,Lyon,576
8,8,4144,10009,10004,1708,1908,6,95,17.28,False,Paris,Lyon,576
9,9,4144,10009,10004,1708,1908,6,95,17.28,False,Paris,Lyon,576
10,10,4144,10009,10004,1708,1908,6,31,238.464,False,Paris,Lyon,576
11,11,4144,10009,10004,1708,1908,6,31,238.464,False,Paris,Lyon,576
12,12,4144,10009,10004,1708,1908,10,55,0.0,True,Paris,Lyon,576
13,13,4144,10009,10004,1708,1908,10,55,0.0,True,Paris,Lyon,576
14,14,4144,10009,10004,1708,1908,3,31,0.0,True,Paris,Lyon,576
15,15,4144,10009,10004,1708,1908,3,31,0.0,True,Paris,Lyon,576
16,16,4144,10009,10004,1708,1908,5,19,233.28,False,Paris,Lyon,576
17,17,4144,10009,10004,1708,1908,5,19,233.28,False,Paris,Lyon,576
18,18,4144,10009,10004,1708,1908,2,4,110.592,False,Paris,Lyon,576
19,19,4144,10009,10004,1708,1908,2,4,110.592,False,Paris,Lyon,576
20,20,4144,10009,10004,1708,1908,9,90,51.84,False,Paris,Lyon,576
21,21,4144,10009,10004,1708,1908,9,90,51.84,False,Paris,Lyon,576
22,22,4144,10009,10004,1708,1908,4,1,228.096,False,Paris,Lyon,576
23,23,4144,10009,10004,1708,1908,4,1,228.096,False,Paris,Lyon,576
24,24,4144,10009,10004,1708,1908,6,3,0.0,True,Paris,Lyon,576
25,25,4144,10009,10004,1708,1908,6,3,0.0,True,Paris,Lyon,576
26,26,4144,10009,10004,1708,1908,9,69,160.704,False,Paris,Lyon,576
27,27,4144,10009,10004,1708,1908,9,69,160.704,False,Paris,Lyon,576
28,28,4144,10009,10004,1708,1908,5,77,66.24,False,Paris,Lyon,576
29,29,4144,10009,10004,1708,1908,5,77,66.24,False,Paris,Lyon,576
30,30,4144,10009,10004,1708,1908,3,34,114.048,False,Paris,Lyon,576
31,31,4144,10009,10004,1708,1908,3,34,114.048,False,Paris,Lyon,576
32,32,4144,10009,10004,1708,1908,8,25,345.6,False,Paris,Lyon,576
33,33,4144,10009,10004,1708,1908,8,25,345.6,False,Paris,Lyon,576
34,34,4144,10009,10004,1708,1908,6,76,82.94400000000002,False,Paris,Lyon,576
35,35,4144,10009,10004,1708,1908,6,76,82.94400000000002,False,Paris,Lyon,576
36,36,4144,10009,10004,1708,1908,6,97,10.368000000000002,False,Paris,Lyon,576
37,37,4144,10009,10004,1708,1908,6,97,10.368000000000002,False,Paris,Lyon,576
38,38,4144,10009,10004,1708,1908,8,41,271.872,False,Paris,Lyon,576
39,39,4144,10009,10004,1708,1908,8,41,271.872,False,Paris,Lyon,576
40,40,4144,10009,10004,1708,1908,6,95,17.28,False,Paris,Lyon,576
41,41,4144,10009,10004,1708,1908,6,95,17.28,False,Paris,Lyon,576
42,42,4144,10009,10004,1708,1908,1,14,49.536,False,Paris,Lyon,576
43,43,4144,10009,10004,1708,1908,1,14,49.536,False,Paris,Lyon,576
44,44,5081,10009,10004,616,816,8,70,138.23999999999998,False,Paris,Lyon,576
45,45,5081,10009,10004,616,816,8,70,138.23999999999998,False,Paris,Lyon,576
46,46,5081,10009,10004,616,816,2,71,33.408,False,Paris,Lyon,576
47,47,5081,10009,10004,616,816,2,71,33.408,False,Paris,Lyon,576
48,48,5081,10009,10004,616,816,2,6,108.28799999999998,False,Paris,Lyon,576
49,49,5081,10009,10004,616,816,2,6,108.28799999999998,False,Paris,Lyon,576
50,50,5081,10009,10004,616,816,1,94,3.4560000000000004,False,Paris,Lyon,576
51,51,5081,10009,10004,616,816,1,94,3.4560000000000004,False,Paris,Lyon,576
52,52,5081,10009,10004,616,816,9,47,0.0,True,Paris,Lyon,576
53,53,5081,10009,10004,616,816,9,47,0.0,True,Paris,Lyon,576
